#,MoN temp,Sub,NH3 feeding,MoN cyc#,MoN THK,Min (nm),Max (nm),Mid (nm),Mean (nm),Rpv (nm),Rq (nm),Ra (nm),Rz (nm),Rsk,Rku
MET-226 #20,350C,PN,0.5s,1578,504.53A,-0.791,3.336,1.272,0.011,4.126,0.283,0.205,3.744,-1.663,9.962
MET-225 #21,350C,PN,10.0s,625,474.49A,-1.104,3.763,1.329,0,4.867,0.346,0.268,4.21,-0.768,5.216
MET-227 #13,450C,PN,0.5s,620,515.24A,-0.944,3.002,1.029,0,3.946,0.303,0.232,3.422,-0.942,5.393
MET-227 #15,450C,PN,10.0s,400,521.56A,-0.8,0.849,0.025,0,1.649,0.186,0.148,1.565,-0.048,3.125
MET-278 #05,550C,PN,0.5s,380,488.69A,-1.547,4.225,1.339,0,5.772,0.47,0.365,5.074,-0.739,4.567
MET-278 #08,550C,PN,10.0s,360,494.24A,-1.376,3.186,0.905,0.063,4.563,0.486,0.364,4.433,-1.08,5.174
